order_id,user_id,account_age_days,order_value,user_avg_order_value,delivery_distance_km,order_hour,payment_method,gps_verified,address_verified,order_count_today,is_fake,rule_based_score
order_000001,user_2824,42,73598,72610,2.7,8,ewallet,True,True,2,False,0
order_000002,user_1520,45,31140,28304,2.6,15,ewallet,True,True,1,False,0
order_000003,user_8359,331,43231,33443,6.3,8,ewallet,True,True,2,False,0
order_000004,user_2674,77,49898,43067,3.5,11,ewallet,True,True,1,False,0
order_000005,user_7201,70,61178,60784,6.8,16,credit,True,True,1,False,0
order_000006,user_4733,178,30229,27857,7.1,12,ewallet,True,True,1,False,0
order_000007,user_5374,361,29679,39639,5.4,14,ewallet,True,True,3,False,0
order_000008,user_4598,196,28665,26170,6.8,18,ewallet,True,False,2,False,10
order_000009,user_6155,138,67954,74312,3.8,20,ewallet,True,True,2,False,0
order_000010,user_5304,329,53077,62198,3.8,9,cod,True,True,1,False,5
order_000011,user_2796,108,66120,61362,6.5,12,ewallet,True,False,2,False,10
order_000012,user_1188,88,69676,77271,6.3,18,ewallet,True,True,1,False,0
order_000013,user_5315,286,74935,70789,4.6,7,credit,True,True,1,False,0
order_000014,user_7126,112,60348,67726,7.4,15,ewallet,True,True,3,False,0
order_000015,user_6038,152,28796,26688,7.1,21,ewallet,True,True,2,False,0
order_000016,user_3060,95,68237,73811,7.6,8,ewallet,True,False,3,False,10
order_000017,user_4295,189,51148,53384,4.1,14,ewallet,True,True,2,False,0
order_000018,user_4770,331,39432,29667,1.5,16,ewallet,False,True,1,False,10
order_000019,user_4899,172,68842,74748,2.5,8,cod,True,True,2,False,5
order_000020,user_7669,127,31181,24357,5.6,11,ewallet,False,True,2,False,10
order_000021,user_2612,61,51386,52504,6.6,7,ewallet,True,True,1,False,0
order_000022,user_8579,157,29940,34460,6.7,19,ewallet,True,True,1,False,0
order_000023,user_2528,151,35899,39216,4.4,9,ewallet,True,True,3,False,0
order_000024,user_5345,262,43694,47555,5.9,17,credit,True,True,1,False,0
order_000025,user_4566,59,62957,70723,1.4,11,ewallet,True,False,2,False,10
