order_id,user_id,account_age_days,order_value,user_avg_order_value,delivery_distance_km,order_hour,payment_method,gps_verified,address_verified,order_count_today,is_fake,rule_based_score
order_002309,user_6087,170,54396,53787,4.8,0,ewallet,True,True,3,False,15
order_022405,user_7709,233,40973,33746,2.4,21,credit,True,True,1,False,0
order_023398,user_6273,232,30949,33812,6.6,12,credit,True,True,2,False,0
order_025059,user_13733,3,225479,38865,18.1,22,cod,False,True,7,True,85
order_002665,user_8964,249,56597,52632,1.3,2,ewallet,True,True,2,False,15
order_008512,user_2072,192,72621,71014,2.1,6,ewallet,True,True,3,False,0
order_005149,user_6883,133,61315,69440,2.2,22,ewallet,True,True,1,False,0
order_007791,user_9430,186,69514,76461,6.7,16,credit,True,True,2,False,0
order_011312,user_4808,312,49981,59306,1.5,4,credit,True,False,2,False,25
order_019044,user_1308,58,43733,47568,1.2,12,credit,True,True,1,False,0
order_010785,user_5544,342,73708,70557,7.8,9,ewallet,True,False,1,False,10
order_022247,user_5177,201,56278,51609,3.1,8,ewallet,True,True,3,False,0
order_003269,user_4107,235,65990,68234,1.3,11,ewallet,True,True,3,False,0
order_015948,user_6359,125,46178,39735,2.2,7,ewallet,True,True,2,False,0
order_014978,user_9216,137,72810,71709,7.7,17,ewallet,False,True,1,False,10
order_014475,user_3991,34,56652,53773,6.1,4,ewallet,True,False,3,False,25
order_028695,user_11373,13,136345,31749,14.2,12,ewallet,False,False,5,True,70
order_014055,user_4412,147,38719,42704,2.9,11,ewallet,True,True,2,False,0
order_026546,user_13831,0,131586,31501,13.1,7,ewallet,False,False,9,True,90
order_014981,user_9155,129,57331,60538,6.9,21,ewallet,True,True,1,False,0
order_017637,user_1411,232,74859,84441,3.5,14,ewallet,True,True,2,False,0
order_003932,user_8657,292,35326,26794,5.8,12,ewallet,True,True,2,False,0
order_008388,user_7161,307,51327,42992,8.0,9,credit,False,True,1,False,10
order_008029,user_1149,309,62332,70373,7.8,16,cod,False,True,1,False,15
order_009483,user_8323,249,68624,75552,4.4,19,ewallet,True,False,1,False,10
order_022573,user_7236,231,46232,46243,7.8,17,credit,True,True,2,False,0
order_015108,user_9881,348,52904,53318,2.3,19,cod,True,True,1,False,5
order_003674,user_1264,347,38127,39979,5.5,8,credit,True,True,1,False,0
order_021389,user_3206,150,34882,28445,1.4,21,cod,True,True,1,False,5
order_005938,user_8200,299,64540,65449,2.6,8,credit,True,True,2,False,0
order_027034,user_11745,3,131203,35104,14.6,17,cod,False,False,9,True,95
order_029272,user_19237,10,263906,29357,17.3,4,credit,False,False,5,True,85
order_021881,user_7862,340,30724,35823,2.8,12,ewallet,True,True,1,False,0
order_006509,user_2214,95,41237,37468,4.0,14,credit,True,True,1,False,0
order_021458,user_4254,268,59267,62022,1.3,20,credit,True,True,3,False,0
order_020072,user_9396,141,56116,56832,3.5,6,credit,True,True,2,False,0
order_027013,user_13166,1,263111,21709,14.6,0,cod,False,False,9,True,100
order_010093,user_2838,278,28083,25255,3.6,14,ewallet,False,True,1,False,10
order_022568,user_3510,77,58943,50465,6.3,17,ewallet,True,True,1,False,0
order_012977,user_9946,69,47110,49785,3.6,17,credit,True,True,1,False,0
order_003814,user_2009,263,29394,23516,5.9,18,ewallet,True,True,1,False,0
order_007338,user_5953,131,25476,20097,3.3,16,cod,True,True,1,False,5
order_024484,user_19756,0,214198,39174,14.7,20,ewallet,False,False,5,True,80
order_019593,user_3667,227,43674,36413,3.8,13,credit,True,True,2,False,0
order_005122,user_3518,298,63759,62480,1.3,22,ewallet,True,True,2,False,0
order_014906,user_1609,271,54095,50806,3.2,18,ewallet,True,True,1,False,0
order_008224,user_5824,237,46125,53589,3.4,17,cod,True,False,3,False,15
order_002869,user_6643,228,26280,27450,6.9,8,ewallet,True,True,3,False,0
order_002343,user_1884,207,59508,63927,5.0,12,ewallet,True,True,2,False,0
order_008833,user_6812,345,59251,63673,6.1,7,cod,False,True,2,False,15
order_007933,user_7420,237,28806,29031,4.4,15,ewallet,True,True,3,False,0
order_016558,user_8891,128,45831,46898,3.8,19,ewallet,True,True,3,False,0
order_020605,user_4962,72,65066,69149,4.1,17,credit,True,True,3,False,0
order_012984,user_1403,240,57231,59073,6.2,14,ewallet,True,True,1,False,0
order_003015,user_4204,338,48527,54546,7.0,11,ewallet,True,True,1,False,0
order_027332,user_13961,6,226146,20376,19.1,23,cod,False,True,4,True,90
order_012125,user_8273,209,62287,56908,3.4,17,cod,True,True,3,False,5
order_003753,user_8104,43,33740,41131,3.5,15,ewallet,True,True,2,False,0
order_027388,user_18915,3,231620,25758,15.7,22,cod,False,True,7,True,85
order_012336,user_1233,196,70146,73329,3.7,18,ewallet,True,True,2,False,0
order_011545,user_3466,56,73848,71367,2.6,14,ewallet,False,True,1,False,10
order_011357,user_9841,144,42691,36767,2.6,7,cod,False,True,1,False,15
order_002677,user_4790,31,26855,25974,4.8,13,credit,True,True,1,False,0
order_028739,user_14364,2,217738,27981,18.9,13,cod,False,False,7,True,95
order_029996,user_14417,7,199402,31365,13.5,8,cod,False,False,8,True,85
order_020748,user_9900,39,70893,63850,6.2,19,ewallet,True,True,1,False,0
order_013376,user_2089,64,39486,48451,7.3,14,cod,False,True,1,False,15
order_017987,user_6877,103,69692,64913,1.1,22,credit,True,False,2,False,10
order_007886,user_1302,85,42734,48586,2.6,10,cod,True,False,1,False,15
order_013333,user_4448,196,45296,47904,5.1,19,ewallet,True,True,2,False,0
order_009586,user_5649,115,35677,41147,3.8,19,credit,True,True,3,False,0
order_006333,user_6853,182,25276,26549,6.6,19,credit,True,False,3,False,10
order_024430,user_13486,9,175698,22637,19.6,1,cod,False,False,6,True,100
order_018080,user_9869,189,43981,37047,3.2,15,ewallet,True,True,3,False,0
order_005202,user_8164,247,66028,67089,1.8,9,ewallet,True,True,1,False,0
order_000748,user_2653,242,57356,57306,2.6,15,cod,True,True,2,False,5
order_009761,user_3409,190,58057,59806,4.3,13,ewallet,True,True,3,False,0
order_029613,user_15410,12,192064,33017,18.0,21,cod,False,False,9,True,85
order_019993,user_6619,259,48989,41818,5.9,7,ewallet,True,True,1,False,0
order_023190,user_6079,221,41704,46097,5.9,20,ewallet,True,True,2,False,0
order_025536,user_19779,13,134357,32022,14.5,10,cod,True,False,10,True,75
order_017964,user_9191,296,50965,58218,2.8,7,credit,True,True,1,False,0
order_025247,user_12378,5,162240,27334,10.7,22,credit,True,True,8,True,70
